Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,Age_Group
May,Tuesday,Toyota,Urban,Friday,Sep,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,4,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,Collision,Young
May,Monday,Pontiac,Urban,Thursday,May,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Nov,Thursday,Honda,Urban,Thursday,Dec,Male,Married,35,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Nov,Thursday,Accura,Rural,Tuesday,Jan,Male,Married,56,Policy Holder,Utility - All Perils,Utility,more than 69000,1,10,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Dec,Monday,Chevrolet,Urban,Wednesday,Jan,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Dec,Tuesday,Honda,Urban,Wednesday,Jan,Male,Single,16,Third Party,Sport - Collision,Sport,more than 69000,0,2,400,1,more than 30,more than 30,2 to 4,4 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,Collision,Young
Nov,Tuesday,Pontiac,Urban,Tuesday,Nov,Male,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,12,400,2,more than 30,more than 30,1,7 years,31 to 35,No,Yes,External,more than 5,no change,1 vehicle,Collision,Adult
Aug,Monday,Pontiac,Urban,Tuesday,Aug,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Nov,Monday,Mazda,Urban,Wednesday,Dec,Male,Single,68,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,9,400,3,more than 30,more than 30,2 to 4,5 years,over 65,No,No,External,none,no change,1 vehicle,All Perils,Senior
Dec,Friday,Honda,Rural,Friday,Dec,Male,Single,39,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,7,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,Adult
Feb,Friday,Honda,Rural,Friday,Mar,Male,Single,39,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,8,400,3,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,All Perils,Adult
Oct,Wednesday,Honda,Rural,Monday,Oct,Female,Married,18,Third Party,Sport - Collision,Sport,more than 69000,0,12,400,4,more than 30,more than 30,none,2 years,21 to 25,No,No,External,1 to 2,no change,1 vehicle,Collision,Young
Jun,Monday,Pontiac,Urban,Monday,Jun,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,2,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Apr,Tuesday,Honda,Urban,Tuesday,Apr,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,1,400,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,3 to 4,Collision,Middle Age
Feb,Sunday,Toyota,Urban,Monday,Feb,Male,Single,22,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,6,400,3,more than 30,more than 30,none,6 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,All Perils,Young
Feb,Saturday,Pontiac,Urban,Monday,Feb,Female,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jan,Saturday,Dodge,Urban,Monday,Mar,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,15,400,2,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,none,4 to 8 years,2 vehicles,Collision,Middle Age
Jan,Sunday,Mazda,Urban,Tuesday,Jan,Male,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jan,Sunday,Chevrolet,Rural,Monday,Jan,Male,Married,27,Third Party,Sedan - Liability,Sport,30000 to 39000,0,9,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,Liability,Adult
Nov,Monday,Honda,Urban,Tuesday,Nov,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Jul,Friday,Pontiac,Urban,Friday,Jul,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Apr,Thursday,Honda,Urban,Friday,Apr,Male,Single,18,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,none,3 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,Collision,Young
Oct,Thursday,Pontiac,Urban,Thursday,Oct,Male,Married,60,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,6,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Oct,Friday,Ford,Urban,Friday,Oct,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,12,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Apr,Tuesday,Honda,Urban,Friday,Apr,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,16,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
Mar,Sunday,Pontiac,Urban,Monday,Mar,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Mar,Monday,Toyota,Urban,Tuesday,Mar,Male,Married,41,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
Feb,Monday,Toyota,Urban,Wednesday,Mar,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Dec,Wednesday,Mercury,Urban,Thursday,Jan,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Oct,Friday,Toyota,Urban,Friday,Feb,Male,Married,34,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Jul,Monday,Honda,Urban,Tuesday,Jul,Male,Married,51,Policy Holder,Sport - Collision,Sport,more than 69000,0,11,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Jun,Monday,Pontiac,Urban,Tuesday,Jul,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Feb,Monday,Chevrolet,Urban,Friday,Mar,Male,Married,52,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,Internal,3 to 5,no change,5 to 8,Liability,Middle Age
Feb,Thursday,Toyota,Urban,Friday,Feb,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision,Senior
Feb,Wednesday,Toyota,Rural,Friday,Feb,Male,Single,25,Third Party,Sedan - Liability,Sport,20000 to 29000,0,1,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,Liability,Young
Nov,Thursday,Mazda,Urban,Friday,Nov,Male,Married,41,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,6,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Sep,Saturday,Mazda,Urban,Tuesday,Sep,Male,Single,33,Third Party,Sedan - Liability,Sport,30000 to 39000,0,10,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Dec,Monday,Toyota,Rural,Tuesday,May,Male,Married,39,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,1,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,under 6 months,2 vehicles,All Perils,Adult
Jun,Tuesday,Accura,Urban,Thursday,Jun,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,13,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
May,Monday,Mazda,Urban,Monday,May,Male,Widow,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jan,Monday,Pontiac,Urban,Friday,Jan,Female,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,8,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Jan,Tuesday,Pontiac,Urban,Tuesday,Jan,Male,Single,23,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,8,400,4,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,3 to 5,no change,1 vehicle,Liability,Young
Jan,Tuesday,Pontiac,Urban,Friday,Jan,Male,Single,31,Third Party,Sedan - Liability,Sport,30000 to 39000,0,10,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Sep,Tuesday,Honda,Urban,Monday,Oct,Male,Married,50,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2,500,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,All Perils,Middle Age
Jan,Saturday,Honda,Urban,Monday,Jan,Female,Single,33,Third Party,Sedan - Liability,Sport,20000 to 29000,0,8,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Jan,Sunday,Accura,Urban,Tuesday,Feb,Male,Married,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,6,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Jan,Monday,Mazda,Urban,Thursday,Feb,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,13,400,1,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jan,Wednesday,Chevrolet,Urban,Tuesday,Feb,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,13,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jan,Saturday,Honda,Urban,Wednesday,Feb,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Jan,Friday,Honda,Urban,Friday,Jan,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Dec,Friday,Chevrolet,Urban,Friday,Jan,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,12,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jan,Tuesday,Honda,Urban,Wednesday,Jan,Male,Single,39,Policy Holder,Sedan - Liability,Sport,more than 69000,0,3,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
Jan,Friday,Chevrolet,Urban,Wednesday,Jan,Female,Single,37,Third Party,Sedan - Liability,Sport,more than 69000,0,5,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Jan,Friday,Toyota,Urban,Thursday,Jan,Male,Married,43,Third Party,Sedan - All Perils,Sedan,less than 20000,0,3,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jan,Wednesday,Toyota,Urban,Monday,Jan,Female,Married,32,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,14,400,1,more than 30,more than 30,more than 4,4 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,Collision,Adult
Jan,Thursday,Toyota,Urban,Thursday,Jan,Male,Married,57,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,Liability,Middle Age
Jan,Friday,Honda,Urban,Monday,Jan,Male,Married,65,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,Senior
Oct,Saturday,Toyota,Urban,Monday,Oct,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,12,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Collision,Adult
May,Friday,Nisson,Rural,Wednesday,Jul,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,0,6,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,All Perils,Middle Age
May,Thursday,Honda,Urban,Monday,May,Male,Married,57,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Mar,Friday,Pontiac,Urban,Wednesday,Mar,Male,Single,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Mar,Saturday,Mazda,Urban,Monday,Mar,Male,Single,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,7,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Feb,Monday,VW,Urban,Tuesday,Feb,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,2,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Feb,Monday,Toyota,Urban,Monday,Feb,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Feb,Monday,Honda,Urban,Tuesday,Feb,Female,Single,32,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,14,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Feb,Sunday,Chevrolet,Urban,Thursday,Feb,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Feb,Tuesday,Saab,Urban,Wednesday,Feb,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,1,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,Adult
Jan,Tuesday,Honda,Urban,Wednesday,Feb,Female,Single,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,16,400,3,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jan,Sunday,Chevrolet,Urban,Wednesday,Jan,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Jan,Saturday,Mercury,Rural,Tuesday,Jan,Male,Married,53,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jan,Monday,Ford,Urban,Tuesday,Jan,Male,Married,74,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,8,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,All Perils,Senior
Jun,Tuesday,Pontiac,Urban,Thursday,Jul,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,3,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Jun,Thursday,Mazda,Urban,Friday,Jun,Male,Single,27,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,All Perils,Adult
Dec,Sunday,Toyota,Urban,Tuesday,Feb,Male,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jan,Sunday,Chevrolet,Urban,Tuesday,Jan,Female,Single,55,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
Jan,Sunday,Pontiac,Urban,Wednesday,Jan,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jan,Monday,Honda,Urban,Wednesday,Jan,Male,Single,39,Third Party,Sedan - Liability,Sport,more than 69000,0,8,400,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,Adult
Dec,Thursday,Pontiac,Urban,Friday,Jan,Male,Married,54,Third Party,Sedan - Liability,Sport,20000 to 29000,0,10,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Jan,Saturday,Chevrolet,Urban,Monday,Jan,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Dec,Monday,Mazda,Urban,Monday,Jan,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,10,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,All Perils,Middle Age
Dec,Friday,Mazda,Urban,Tuesday,Jan,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,1,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Middle Age
Feb,Tuesday,Toyota,Urban,Wednesday,Feb,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
Dec,Tuesday,Chevrolet,Urban,Monday,Jan,Male,Married,26,Policy Holder,Utility - All Perils,Utility,more than 69000,1,14,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Feb,Sunday,Toyota,Urban,Monday,Feb,Female,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,1,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Dec,Thursday,Honda,Urban,Monday,Jan,Male,Married,39,Policy Holder,Sport - Collision,Sport,more than 69000,1,13,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Feb,Friday,Chevrolet,Urban,Wednesday,Feb,Male,Married,49,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,4,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,Middle Age
